# mRange,cKinked,Period
4.395347129254316698e-01,6.647091128364662760e-01,1.000000000000000000e+00
4.495347129254316787e-01,6.682627185333283037e-01,1.000000000000000000e+00
4.595347129254316876e-01,6.718163242301902205e-01,1.000000000000000000e+00
4.695347129254316965e-01,6.753699299270520262e-01,1.000000000000000000e+00
4.795347129254317053e-01,6.789080146008855676e-01,1.000000000000000000e+00
4.895347129254317142e-01,6.823378982037699991e-01,1.000000000000000000e+00
4.995347129254317231e-01,6.857677818066545417e-01,1.000000000000000000e+00
5.095347129254317320e-01,6.891976654095389732e-01,1.000000000000000000e+00
5.195347129254317409e-01,6.926275490124235157e-01,1.000000000000000000e+00
5.295347129254317498e-01,6.960574326153080582e-01,1.000000000000000000e+00
5.395347129254317586e-01,6.994873162181924897e-01,1.000000000000000000e+00
5.495347129254317675e-01,7.028196741705157180e-01,1.000000000000000000e+00
5.595347129254317764e-01,7.061349769212182936e-01,1.000000000000000000e+00
5.695347129254317853e-01,7.094502796719207582e-01,1.000000000000000000e+00
5.795347129254317942e-01,7.127655824226232228e-01,1.000000000000000000e+00
5.895347129254318030e-01,7.160808851733257985e-01,1.000000000000000000e+00
5.995347129254318119e-01,7.193961879240282631e-01,1.000000000000000000e+00
6.095347129254318208e-01,7.226755100838095913e-01,1.000000000000000000e+00
6.195347129254318297e-01,7.258230022368274970e-01,1.000000000000000000e+00
6.295347129254318386e-01,7.289704943898454026e-01,1.000000000000000000e+00
6.395347129254318475e-01,7.321179865428631972e-01,1.000000000000000000e+00
6.495347129254318563e-01,7.352654786958811028e-01,1.000000000000000000e+00
6.595347129254318652e-01,7.384129708488990085e-01,1.000000000000000000e+00
6.695347129254318741e-01,7.415604630019169141e-01,1.000000000000000000e+00
6.795347129254318830e-01,7.446789930663646473e-01,1.000000000000000000e+00
6.895347129254318919e-01,7.477028429414578348e-01,1.000000000000000000e+00
6.995347129254319007e-01,7.507266928165512443e-01,1.000000000000000000e+00
7.095347129254319096e-01,7.537505426916445428e-01,1.000000000000000000e+00
7.195347129254319185e-01,7.567743925667379523e-01,1.000000000000000000e+00
7.295347129254319274e-01,7.597982424418313618e-01,1.000000000000000000e+00
7.395347129254319363e-01,7.628220923169246603e-01,1.000000000000000000e+00
7.495347129254319452e-01,7.658459421920178478e-01,1.000000000000000000e+00
7.595347129254319540e-01,7.683433824393308686e-01,1.000000000000000000e+00
7.695347129254319629e-01,7.707315024480512200e-01,1.000000000000000000e+00
7.795347129254319718e-01,7.795347129254319718e-01,1.000000000000000000e+00
7.895347129254319807e-01,7.895347129254318697e-01,1.000000000000000000e+00
7.995347129254319896e-01,7.995347129254319896e-01,1.000000000000000000e+00
8.095347129254319984e-01,8.095347129254319984e-01,1.000000000000000000e+00
8.195347129254320073e-01,8.195347129254320073e-01,1.000000000000000000e+00
8.295347129254320162e-01,8.295347129254320162e-01,1.000000000000000000e+00
8.395347129254320251e-01,8.371967550801008295e-01,1.000000000000000000e+00
8.495347129254320340e-01,8.397788202395821688e-01,1.000000000000000000e+00
8.595347129254320429e-01,8.423608853990636192e-01,1.000000000000000000e+00
8.695347129254320517e-01,8.449429505585450695e-01,1.000000000000000000e+00
8.795347129254320606e-01,8.475250157180264088e-01,1.000000000000000000e+00
8.895347129254320695e-01,8.501070808775079701e-01,1.000000000000000000e+00
8.995347129254320784e-01,8.527191798148524571e-01,1.000000000000000000e+00
9.095347129254320873e-01,8.553381434039967202e-01,1.000000000000000000e+00
9.195347129254320961e-01,8.579571069931410943e-01,1.000000000000000000e+00
9.295347129254321050e-01,8.605760705822854684e-01,1.000000000000000000e+00
9.395347129254321139e-01,8.631950341714298425e-01,1.000000000000000000e+00
9.495347129254321228e-01,8.658139977605742166e-01,1.000000000000000000e+00
9.595347129254321317e-01,8.684329613497185907e-01,1.000000000000000000e+00
9.695347129254321406e-01,8.710519249388629648e-01,1.000000000000000000e+00
9.795347129254321494e-01,8.733243842838552817e-01,1.000000000000000000e+00
9.895347129254321583e-01,8.753633362804040807e-01,1.000000000000000000e+00
9.995347129254321672e-01,8.774022882769529907e-01,1.000000000000000000e+00
1.009534712925432176e+00,8.794412402735019008e-01,1.000000000000000000e+00
1.019534712925432185e+00,8.814801922700508108e-01,1.000000000000000000e+00
1.029534712925432194e+00,8.835191442665997208e-01,1.000000000000000000e+00
1.039534712925432203e+00,8.855580962631486308e-01,1.000000000000000000e+00
1.049534712925432212e+00,8.875970482596974298e-01,1.000000000000000000e+00
1.059534712925432220e+00,8.896013651670904299e-01,1.000000000000000000e+00
1.069534712925432229e+00,8.915312707909289758e-01,1.000000000000000000e+00
1.079534712925432238e+00,8.934611764147674107e-01,1.000000000000000000e+00
1.089534712925432247e+00,8.953910820386060676e-01,1.000000000000000000e+00
1.099534712925432256e+00,8.973209876624443915e-01,1.000000000000000000e+00
1.109534712925432265e+00,8.992508932862830484e-01,1.000000000000000000e+00
1.119534712925432274e+00,9.011807989101214833e-01,1.000000000000000000e+00
1.129534712925432283e+00,9.031107045339599182e-01,1.000000000000000000e+00
1.139534712925432292e+00,9.050406101577984641e-01,1.000000000000000000e+00
1.149534712925432300e+00,9.069393846310438434e-01,1.000000000000000000e+00
1.159534712925432309e+00,9.087951567077300341e-01,1.000000000000000000e+00
1.169534712925432318e+00,9.106509287844162248e-01,1.000000000000000000e+00
1.179534712925432327e+00,9.125067008611023045e-01,1.000000000000000000e+00
1.189534712925432336e+00,9.143624729377883842e-01,1.000000000000000000e+00
1.199534712925432345e+00,9.162182450144745749e-01,1.000000000000000000e+00
1.209534712925432354e+00,9.180740170911607656e-01,1.000000000000000000e+00
1.219534712925432363e+00,9.199297891678468453e-01,1.000000000000000000e+00
1.229534712925432371e+00,9.217855612445330360e-01,1.000000000000000000e+00
1.239534712925432380e+00,9.236413333212192267e-01,1.000000000000000000e+00
1.249534712925432389e+00,9.254871761089683568e-01,1.000000000000000000e+00
1.259534712925432398e+00,9.273304216533762023e-01,1.000000000000000000e+00
1.269534712925432407e+00,9.291736671977840478e-01,1.000000000000000000e+00
1.279534712925432416e+00,9.310169127421918933e-01,1.000000000000000000e+00
1.289534712925432425e+00,9.328601582865997388e-01,1.000000000000000000e+00
1.299534712925432434e+00,9.347034038310075843e-01,1.000000000000000000e+00
1.309534712925432443e+00,9.365466493754153188e-01,1.000000000000000000e+00
