# mRange,cKinked,cIRA,period
6.584350939527530144e-01,7.396699408498177419e-01,7.424956244614273615e-01,1.500000000000000000e+01
6.684350939527530233e-01,7.425621450339736640e-01,7.459851552740817127e-01,1.500000000000000000e+01
6.784350939527530322e-01,7.454543492181298081e-01,7.494746860867360638e-01,1.500000000000000000e+01
6.884350939527530411e-01,7.483465534022857302e-01,7.529642168993904150e-01,1.500000000000000000e+01
6.984350939527530500e-01,7.512387575864417633e-01,7.564537477120446551e-01,1.500000000000000000e+01
7.084350939527530588e-01,7.539032308996510556e-01,7.599432785246990063e-01,1.500000000000000000e+01
7.184350939527530677e-01,7.564231741479484628e-01,7.634328093373533575e-01,1.500000000000000000e+01
7.284350939527530766e-01,7.589431173962457589e-01,7.669223401500077086e-01,1.500000000000000000e+01
7.384350939527530855e-01,7.614630606445431660e-01,7.704397455635515479e-01,1.500000000000000000e+01
7.484350939527530944e-01,7.639830038928405731e-01,7.748590709336290461e-01,1.500000000000000000e+01
7.584350939527531033e-01,7.665029471411379802e-01,7.792783963037066552e-01,1.500000000000000000e+01
7.684350939527531121e-01,7.690228903894353873e-01,7.836977216737841534e-01,1.500000000000000000e+01
7.784350939527531210e-01,7.784350939527531210e-01,7.881170470438618736e-01,1.500000000000000000e+01
7.884350939527531299e-01,7.884350939527531299e-01,7.925363724139393717e-01,1.500000000000000000e+01
7.984350939527531388e-01,7.984350939527531388e-01,7.969556977840170919e-01,1.500000000000000000e+01
8.084350939527531477e-01,8.084350939527531477e-01,8.013750231540945901e-01,1.500000000000000000e+01
8.184350939527531565e-01,8.184350939527531565e-01,8.057943485241721993e-01,1.500000000000000000e+01
8.284350939527531654e-01,8.284350939527531654e-01,8.102136738942498084e-01,1.500000000000000000e+01
8.384350939527531743e-01,8.351624789923727255e-01,8.146329992643273066e-01,1.500000000000000000e+01
8.484350939527531832e-01,8.371763439885353542e-01,8.190523246344049157e-01,1.500000000000000000e+01
8.584350939527531921e-01,8.391902089846979829e-01,8.234716500044825249e-01,1.500000000000000000e+01
8.684350939527532010e-01,8.412226259522250782e-01,8.278909753745600231e-01,1.500000000000000000e+01
8.784350939527532098e-01,8.435923552687050186e-01,8.323103007446376322e-01,1.500000000000000000e+01
8.884350939527532187e-01,8.459620845851847371e-01,8.367296261147152414e-01,1.500000000000000000e+01
8.984350939527532276e-01,8.483318139016646775e-01,8.411489514847927396e-01,1.500000000000000000e+01
9.084350939527532365e-01,8.507015432181443959e-01,8.455682768548703487e-01,1.500000000000000000e+01
9.184350939527532454e-01,8.530712725346243364e-01,8.499876022249479579e-01,1.500000000000000000e+01
9.284350939527532542e-01,8.554410018511042768e-01,8.524852207789117564e-01,1.500000000000000000e+01
